lemmatize_data,translate_data,sentimen
dharma kun merekomendasikan jokowi kalah pengumuman dharma kun menang otomatis patuh wakil presiden sesuai undang-undang daerah khusus jakarta disahkan jokowi anggaran pendapatan belanja daerah jakarta 81 triliun begal pembangunan kota nusantara,dharma kun recommends jokowi loses dharma kun's announcement wins automatically obeys vice president according to the special regional law of jakarta ratified by jokowi jakarta regional budget revenue and expenditure 81 trillion muggers of nusantara city development,Positif
semoga sukses dharma doel gubernur daerah khusus jakarta salam santun sukses doakan maju pantang mundur,good luck dharma doel governor of the special region of jakarta polite greetings success pray for progress never retreat,Positif
ucapkan sukses dharma,say success dharma,Positif
usung partai mewakili partai ya dek ya masyarakat mandiri coba pilih mewakili partai embel-embel,"carry the party, represent the party, yes, yes, independent society, try to choose, represent the party, embellishments",Netral
calon gubernur calon wakil gubernur nomor dua iya iya iya,gubernatorial candidate vice gubernatorial candidate number two yes yes yes,Netral
dua,two,Netral
mantap dua bicaranya cita cita-citanya tulus terpengaruh bergerak dharma kesejahteraan jakarta,steady two talk his ideals sincere influenced moving dharma welfare jakarta,Positif
nomor urut dua syarat analisis level ngawur orang ilmunya dibawah,serial number two requirements for analysis level of nonsense people whose knowledge is below,Netral
nomor dua,number two,Netral
tuan dharma,lord dharma,Netral
satu buka kertas dua coblos tiga lipat,one open paper two marks three folds,Netral
semoga tuhan memberkatimu dharma,may god bless you dharma,Netral
calon nomor dua percaya COVID-19 ya oke dicatat,candidate number two believes in covid-19 yes okay noted,Positif
dana rukun warga pengawasan nya koruptor gaya,neighborhood association funds supervision of corruptors style,Netral
nomor urut dua bergerak hati tulus pejuang kemanusiaan cakap kompeten,serial number two moving heart sincere fighter for humanity capable competent,Positif
abang dharma percaya COVID-19,brother dharma believes in covid-19,Netral
darmakun basa basi fokus pokok permasalahan,darmakun small talk focuses on the main problem,Negatif
orang padang dharma tampil media sifat dharma memperhatikan dharma jiwa pemimpin jujur putar berhati beliau berbicara kayak pencitraan saudara memilih dharma rugi beliau maju tekanan partai,padang people dharma appear media nature dharma pay attention to dharma soul honest leader turn heart he speaks like image brother choose dharma loss he advances party pressure,Positif
pilih mandiri,choose independently,Netral
dharma terbaik,the best dharma,Positif
putuskan ikhlaskan suara dharma pemimpin idamanku dharma cerdas,decide to let go of the voice of dharma my ideal leader dharma smart,Positif
didengar disimpulkan ketiga pasangan calon pasangan calon nomor urut tiga merakyat mengayomi rakyat mudahan dharma kun terpilih,"heard concluded the third pair of candidates candidate pair number three are people-oriented, protecting the people, hopefully dharma kun will be elected",Netral
dharma orang jujur,dharma of honest people,Positif
sukses ya abang doel mendukung,"good luck bro doel, support me",Positif
dharma kun nomor urut dua pimpin jakarta neko-neko beban partai partai mempermainkan negara pimpin calonkan nomor urut dua kerja rakyat efektif efisien anggaran rakyat,dharma kun number two leads jakarta the burdens of the parties are toying with the country lead candidate number two effective efficient people's work people's budget,Positif
semoga dharma kun kepercayaan rakyat jakarta memimpin jakarta,may the dharma kun of the people of jakarta trust lead jakarta,Netral
mantap dua,steady two,Positif
suka nomor dua,like number two,Netral
nomor dua pilihan membisukan sesuai dharma mengomong,number two option mute according to dharma mebicara,Netral
satu rukun warga satu miliar satu juta menang logika rumit pilih nomor tiga,one citizen unit one billion one million wins complicated logic choose number three,Negatif
abang dharma gubernur mantap cerdas politik basa basi langsung tujuan kental politik penuh basa basi pasangan calon nomor dua patut dipilih,"brother dharma, the governor is steady, smart, polite politics, straight to the point, politics full of polite politics, candidate pair number two is worthy of being elected",Positif
lihat tampang nomor 1 cari muka nomor dua percaya nomor tiga sederhana terserah suka,look at the appearance number 1 look for the face number two trust number three simple whatever you like,Netral
kosong banget pasangan calon nomor dua tertawa,very empty candidate pair number two laughed,Positif
nomor dua aktor bayaran partai,number two paid actor party,Netral
kun fayakun kun dua,kun fayakun kun two,Netral
cenderung nomor dua wakilnya muda,tends to be the number two representative young,Positif
pilih nomor dua,choose number two,Netral
nomor dua cepat neko-neko,number two fast and furious,Positif
nomor dua visi misi nya baca puisi,number two his vision and mission is reading poetry,Netral
coba pilih mandiri setiran partai dharma kun,try to choose to be independent from the dharma kun party,Netral
farhan dukungan menang,farhan support win,Positif
aneh dukungan partai partai menang,strange party support winning party,Positif
dipengaruhi dukungan partai partai sekolah anak,influenced by the support of the party's school children,Netral
mendukung pasangan calon nomor anies maju jakarta semoga orang jakarta sehat amin,support candidate pair number anies advance to jakarta hopefully jakarta people will be healthy amen,Positif
media kompas berbohong mematikan suara nya detik menit mematikan membisukan suara dharma,"kompas media lies, turns off its voice, seconds, minutes, turns off, silences the voice of dharma",Netral
pilih salah satu saja pramono rano karno dharma kun,just choose one pramono rano karno dharma kun,Netral
nomor dua mandiri percaya,number two independent believe,Netral
kamil mimpi kali ya pasangan calon nomor dua menang,kamil dreams that candidate pair number two will win,Positif
nomor dua pasangan calon parah,number two candidate pair severe,Netral
mendukung penghina jakarta,support jakarta insulter,Netral
pekerjaan rumah balon tolong peraturan jabatan rukun tetangga rukun warga,homework balloons help neighborhood association job regulations residents association,Netral
jabatan rukun tetangga rukun warga batasnya biar bergantian,"the position of neighborhood association of residents' association, the boundaries are allowed to take turns",Netral
debatnya jabatan rukun tetangga rukun warga tolong bahasan dua periode saja pergantian,"the debate on the position of neighborhood association, residents' association, please discuss only two terms of change",Netral
dua periode saja,two periods only,Netral
nomor urut tiga preman pasar pakaiannya cari muka model debat resmi sopan menggoda pendukung persatuan sepak bola indonesia jakarta,serial number three thugs market clothes looking for face model debate official polite teasing supporters of the indonesian football association jakarta,Netral
debat kamil paranoid dharma,kamil paranoid dharma debate,Netral
mendukung abang dharma,support brother dharma,Netral
work from home mendukung nomor satu saja tertawa,work from home support number one just laugh,Positif
calon gubernur nomor urut dua kerja mengomong nya saja berbelok-belok cerdas nomor urut satu tiga,"gubernatorial candidate number two works, his speech is always convoluted, smart, number one three",Positif
satu tiga calon partai politik identik perebutan kekuasaan perebutan tongkat kekuasaan terlepas jatuh dua mengambilnya mudah bawa garis menyelesaikan,one three candidates identical political parties struggle for power struggle for the baton of power slipped away fell two take it easy bring the line finish,Positif
tuhan memberkati dharma,god bless dharma,Netral
ayo warga jakarta pilih nomor dua insya allah terpercaya ayo pilih hati nurani,"come on jakarta residents, choose number two, god willing, it's trustworthy, come on, choose your conscience",Positif
damai dua,peace two,Netral
dua calon gubernur rakyat mandiri,two independent people's gubernatorial candidates,Netral
gemeteran nomor dua tertawa,shaking number two laugh,Positif
masuk akal dharma,makes sense dharma,Netral
pilih mandiri kerja warga berpikir partainya insyaallah anggaran pendapatan belanja daerah efektif nya semoga program pembendungan pantai daerah khusus ibukota,"choose independent work, citizens think about their party, god willing, the regional income and expenditure budget will be effective, hopefully the coastal damming program for the special capital region will be effective",Positif
dharmakun kun fayakun menang gubernur wakil gubernur daerah khusus ibukota jakarta,dharmakun kun fayakun wins governor deputy governor of the special capital region of jakarta,Positif
dharma kun,dharma kun,Netral
abang dharma,brother dharma,Netral
dharmakun pasang cocok daerah khusus ibukota,dharmakun pasang cocok special capital region,Positif
dharmakun terbaik tertawa,dharmakun best laugh,Positif
alumni institut teknologi bandung fan berat anies coblos tiga pilih darmakun poin realistis sistem prioritas mengutamakan adab,"bandung institute of technology alumni are big fans of anies, vote three, choose dharmakun, realistic points, priority system prioritizes manners",Positif
tertawa survei pulang jelek sesuai debat pulang bagus dharma pongrekun,laugh survey go home bad according to debate go home good dharma pongrekun,Positif
warga jakarta pilih ajak pilih nomor dua,jakarta residents choose to vote for number two,Netral
ayo warga daerah khusus ibukota pilih mandiri calon diatur ketua partai,"come on, residents of the special capital region, choose independently, candidates are regulated by party leaders",Positif
pembicara pasangan calon dua banget tua teh,"the speakers for the two candidate pairs are very old, sis",Positif
pasangan boneka pendapatnya partai pasangan mandiri maju bentuk koalisi hadapi pasangan calon dua,puppet couple opinion independent couple party advances to form coalition to face candidate pair two,Netral
program-programan omong kosong badan penyelenggara jaminan sosial tenaga kerja namanya program jaminan tua program jaminan kehilangan kerja pekerja sakit klaim perusahaan menunggak bayar salah satunya perusahaan milik pendiri salah satu partai pendukung ridwan kamil nama media latar debat tertibkan program bicara program,"nonsense programs of the social security agency for workers, its name is the old age security program, the job loss security program, sick workers, claims from companies in arrears, one of which is a company owned by the founder of one of the parties supporting ridwan kamil, media name, background of the debate, organize the program, talk program",Negatif
dharma kun iya salam hormat warga daerah khusus jakarta,dharma kun yes greetings from the people of the special region of jakarta,Positif
bahas global² kepikiran teori² konspirasi khusus dua pakai teori jakarta kayak,discuss global² think of conspiracy theories specifically two use the jakarta theory like,Netral
gubernur staf ahli tuan dharma,"governor's expert staff, mr. dharma",Netral
mendukung abang karno lanjutkan sih doel sarah situ,"support brother karno, continue with that doel sarah",Netral
rakyat jakarta pilih nomor dua,jakarta people choose number two,Netral
pemilu pemilihan kepala daerah pasangan calon pendukungnya menang kalah demokrasi,regional head elections candidate pair supporters win lose democracy,Positif
pilih mandiri pilih partai menyerah partai beserta oligarki bodoh namanya,choose independent choose party give up party along with oligarchy stupid name,Negatif
gue bingung hormat dua objektif,i'm confused about respecting two objectives,Negatif
program berbasis anggaran paham anggaran pendapatan belanja daerah memutuskan program masuk anggaran pendapatan belanja daerah gubernur dewan perwakilan rakyat daerah terlibat rancangan anggaran pendapatan belanja daerah disusun program gubernur terpilih masuk program janji realistis gubernur terpilih kemampuan keberanian eksekusi mendukung kepentingan rakyat kelemahan eksekusi benturan kepentingan mengakomodasi kepentingan kelompok-kelompok sesuai aturan bermain kemampuan keberanian eksekusi butuh pemimpin mandiri,budget-based program understand regional budget decide on program enter regional budget governor regional people's representative council involved draft regional budget draft compiled program elected governor enter program realistic promises elected governor ability courage execution support people's interests weakness execution conflict of interest accommodate group interests according to rules of the game ability courage execution need independent leader,Negatif
nomor dua saja terkenal boneka partai,number two is just a famous party puppet,Positif
dharma bagus kun grogi canggung suswono keyakinan sifat pramono lama-lama ya mahfud ganjar debat pemilihan presiden berasal partai politik ya,dharma bagus kun nervous awkward suswono confidence pramono's character it takes a long time mahfud ganjar the presidential election debate comes from political parties,Negatif
salut dua bagus perdana wajar saja gugup ya cari sih,"hi, two good first, it's natural to be nervous, right? look for it",Positif
calon gubernur nomor dua unik kesempatan satu tiga layaknya politisi indonesia kemana,gubernatorial candidate number two unique opportunity one three like indonesian politicians where,Positif
paparan dharma logis pencitraan retorika muncul calon mandiri indonesia,dharma logical exposure rhetorical imaging emerging independent indonesia candidate,Positif
mandiri the terbaik memprioritaskan kepentingan rakyat dua,mandiri the best prioritizes the interests of the people two,Positif
dua iya,two yes,Netral
nomor dua mengomong lewati saja utara selatan,number two just say skip north south,Netral
ridwan kamil salah COVID-19 darmakun,ridwan kamil wrong covid-19 darmakun,Negatif
tolong calon dua tiga debatnya lihat jejak rekam satu memimpin jawa barat,"please, candidates two or three in the debate, look at the track record of one leading west java",Netral
salut semangat dharma pongrekun salah satu warga terbaik bangsa fasilitas terbatas mandiri wajar saja kekurangan dibandingkan pasangan calon semangat sesuai makna terdalam pancasila kota aman beradab terpercaya terdalam bangsa semoga dharma pongrekun menduduki posisi pemerintahan menjaga bangsa indonesia serangan kekuatan asing program internet mandiri kartu membuka lap pekerjaan pendidikan kesehatan mandiri campur tangan kekuatan asing,salute the spirit of dharma pongrekun one of the best citizens of the nation limited facilities independent it is natural that there are shortcomings compared to candidate pairs enthusiasm according to the deepest meaning of pancasila safe civilized city trusted deepest nation hopefully dharma pongrekun will occupy a government position protecting the indonesian nation foreign power attacks independent internet program card opening lap jobs education health independent foreign power interference,Positif
jokowi gubernur presiden kali luncurkan program kartu jakarta pintar kartu jakarta pintar kartu indonesia pintar kartu indonesia pintar kartu keluarga sejahtera kartu keluarga sejahtera presiden orang kritik prabowo dua tiga calon gubernur mengikuti jejak jokowi program kartu pasangan pramono doel melanjutkan program kartu jakarta pintar,jokowi governor president kali launches jakarta smart card program jakarta smart card indonesia smart card indonesia smart card prosperous family card prosperous family card president people criticize prabowo two three gubernatorial candidates follow in jokowi's footsteps card program pramono doel pair continues jakarta smart card program,Positif
calon dua tiga mengomongnya berbelit,candidate two three spoke in a roundabout way,Netral
mengubah konsep pemerintahan partai politik batasi dua saja bubarkan situ negara hemat ratusan triliun ribuan triliun nya,"change the concept of political party government, limit it to two, disband the country, save hundreds of trillions, thousands of trillions",Netral
pasangan calon satu kampanyenya berhubungan uang terpukau rakyat pihak-pihak memegang uangnya alirannya sasaran-sasarannya membuka peluang korupsi penghargaan pemerintah rukun warga rukun tetangga digaji sekian butuh pemimpin benar-benar peduli adil benar-benar konsentrasi kekurangan-kekurangan jakarta ruang lingkup sumber daya manusia akumulasi rakyatnya kemakmuran uangnya membuka lapangan pekerjaan ciptakan inovasi lapangan pekerjaan bermanfaat,candidate pair one campaign related to money fascinated the people parties hold the money its flow its targets open up opportunities for corruption government awards neighborhood associations paid so much need a leader who really cares fair really concentrates jakarta's shortcomings scope of human resources accumulation of its people prosperity its money opens up job opportunities create innovation useful job opportunities,Positif
nya pengin memilih lihat pasangan calon dua program nya neko-neko khayalan doang pilih dua,"i want to choose, see the candidate pair, their two programs are just imaginary, choose two",Netral
mantap mendukungmu abang doel menang,steady support you brother doel to win,Positif
anak abah pendukung ahok gue memilih memilih tertawa,"my father's son is a supporter of ahok, i choose to laugh",Positif
tiga pasangan calon misi jakarta orientasi kedepan dharma sesuai domisili daerah khusus ibukota nimbrung,"three pairs of candidates for the jakarta mission, future orientation, dharma according to the domicile of the special capital region, join in",Positif
ikhlaskan suara dharma saja pemimpin cerdas boneka partai menjijikkan dharma,let go of the voice of dharma just be a smart leader puppet of the disgusting party dharma,Negatif
visi misi tiga membaca bagus pasangan rido visi misi langsung diutarakan teks pasangan dua menyambung debatnya adab adab saja dibahas sasaran didebatkan rido the terbaik,vision mission three read good rido couple vision mission directly expressed text couple two continue their debate manners manners only discussed targets debated rido the best,Positif
rakyat maju pilih dua kepentingan partai,people advance to choose two party interests,Netral
nomor dua saja debat gemetar mengurus jakarta tertawa,number two only debate shaking taking care of jakarta laughing,Netral
partai abang pilih partainya sangkut paut partai sekuat ridwan kamil bantu rakyat saja partai hati hati tuan anies dua intinya kesalahan berpolitik partai saja omong kosong lihat orangnya lihat kemampuannya jakarta maju individu abang the terbaik jokowi pindahkan ibukota,party brother choose the party related to the party as strong as ridwan kamil just help the people party be careful mr anies two the point is the mistake of politics party is just nonsense look at the person look at his ability jakarta advance individual brother the best jokowi move the capital,Positif
dharma utara selatan kun masuk debat,dharma north south kun enters the debate,Netral
nomor dua gugup,number two nervous,Netral
dharma kun cocok tukang kotak ubah anggaran pendapatan belanja negara indak anggaran pendapatan belanja daerah,dharma kun suitable box maker change state revenue and expenditure budget not regional revenue and expenditure budget,Positif
mendukung nomor tiga abang doel rano karno,support number three brother doel rano karno,Netral
mantap dharma kun visi misi nya rakyat mandiri rakyat partai mustahil tuhan pilih dua,steady dharma kun his vision and mission independent people people party impossible god choose two,Negatif
kelebihan pasangan calon dua diatur partai budak partai,excess of candidate pair two arranged by slave party party,Netral
jokowi setahun diatur partai melarangnya menjabat tiga periode akibatnya jokowi leluasa mengubah konstitusi dinasti keluarga pasangan calon nomor dua terpilih leluasa dana anggaran pendapatan belanja daerah keluarganya partai mengontrolnya,"jokowi was ruled by the party for a year and prohibited him from serving three terms. as a result, jokowi was free to change the constitution. the family dynasty of the candidate pair number two was elected freely. the regional income and expenditure budget funds were freely provided by his family. the party controlled him.",Positif
dua visi misinya baca ambil singkatnya saja,two visions and missions read just take the short ones,Netral
dua,two,Netral
nomor urut dua sodara,serial number two brother,Netral
warga bekasi pilih dua dharma kun fayakun kun,bekasi residents choose two dharma kun fayakun kun,Netral
dharma kun kristen,dharma kun christian,Netral
dharma kun on poin tuhan memberkati,dharma kun on point god bless,Netral
pilih dharmakun mari membangun jakarta megah bermartabat jakarta berkilau langkah kemajuannya aman generasi beradab keputusan,"choose dharmakun let's build a magnificent, dignified jakarta, sparkling jakarta, safe, civilized generation, decision",Positif
mencari google pasangan dharma kun,search google dharma kun couple,Netral
pasangan calon dua boneka rezim memenangkan ridwan kamil,candidate pair of two regime puppets wins ridwan kamil,Positif
paparan dharma kun masuk akal the poin beretorika,dharma kun's exposition makes sense the rhetorical point,Netral
mandiri visi misinya berdasarkan kemauan rakyat amanah ketua partai maju abang dharma kun,"independent vision and mission based on the will of the people, the mandate of the chairman of the advanced party, abang dharma kun",Positif
tinggal jakarta memilih dua,jakarta stay choose two,Netral
salah fokus dua calon gubernur gugup calon wakil gubernur memegang kertas gemeteran,wrong focus two nervous gubernatorial candidates vice gubernatorial candidate holding paper shaking,Negatif
dharma menghafal tuan terpenting praktek nya pemimpin pintar mengomong saja,dharma memorize the most important master practice is a smart leader just talk,Positif
dharma ahli teori konspirasi menjabat politisi wajar,dharma conspiracy theorist holds a fair share of political office,Positif
iya salahnya dimana gue bilang salah fokus dua jelek,yes the mistake where i said wrong focus two bad,Negatif
pilih dua jalur mandiri salah satu visi utamanya menjadikan jakarta zona aman pandemi indonesia semoga jakarta intervensi partai politik muak partai tuan maling,"choose two independent paths, one of the main visions is to make jakarta a safe zone for the indonesian pandemic, hopefully jakarta will intervene with political parties, fed up with the party, the master thief",Positif
nomor dua mengomong lihatnya berani menatap ya,number two say look at him dare to look yes,Netral
nya pilih mandiri bersih partai,choose independent clean party,Positif
dimana kartu tanda penduduk abal-abal memenuhi syarat dukungan gugur faktual mencatut,where fake resident identity cards meet the requirements for factual support for the failure to claim,Negatif
nomor dua bagus canggung grogi berpikir-pikir aslinya nya ditambah satu dua ahli berpengalaman menarik intinya,number two good awkward nervous thinking the original plus one or two experienced experts interesting the point,Positif
jenderal dharma saja nomor dua,general dharma is only number two,Positif
mendukung 04,support 04,Netral
bismillahirrahmanirrahim insyaallah dua mandiri kepentingan partai ayo merapat,"bismillahirrahmanirrahim god willing, two independent party interests, let's get closer",Positif
rela kartu tanda penduduk gue dicatut sih pongrekun,"pongrekun, i'm willing to have my id card used",Positif
debat pemilihan kepala daerah jakarta kalah debat pemilihan presiden calon nomor tiga mendukung presiden tanda pemenangnya,jakarta regional head election debate lost presidential election debate candidate number three supports the president sign of the winner,Netral
melewati konspirasi COVID-19 paham melawan pernyataan pemerintah program COVID-19 dharma pongrekun gagasan edukasi nya cerna masyarakat COVID-19 konspirasi salahkan pemimpin nya memilihnya,passing the covid-19 conspiracy understand against the government's statement covid-19 program dharma pongrekun his educational ideas digest society covid-19 conspiracy blame his leader choose him,Positif
dua menang,two wins,Positif
the ahok dharma pongrekun menyala abangku,the ahok dharma pongrekun lights up my brother,Netral
pongrekun suka mencatut,pongrekun likes to cheat,Netral
visi misi dua tiga nya kaya chat gpt,the vision and mission of the two or three are like gpt chat,Netral
dua gemetaran gugup persiapan,two nervous tremors of preparation,Netral
dua tiga hormat satu ajak,two three respect one invite,Netral
pemilihan gubernur dua putaran suara dua berpindah tiga,gubernatorial election two rounds two votes move three,Netral
visi misi dua paham,vision and mission of two schools of thought,Netral
dukungan kepentingan,support of interest,Netral
debat debat bermutu dua pasangan calon satu tiga partai partai mandiri janji palsu,debate quality debate two pairs of candidates one three parties independent party false promises,Negatif
latar sih dua,there are two backgrounds,Netral
nomor dua lucu,number two is funny,Positif
bismillah dharma kun dua pemaksaan vaksin,bismillah dharma kun two forced vaccines,Negatif
sih kun sih ridwan kamil,"oh my gosh, ridwan kamil",Netral
dua mandiri usung partai,two independent parties carry,Netral
tanggapan nyata sesungguhnya nomor dua berani,real response actually number two brave,Positif
ridwan kamil mengapai melarang orang selatan barat berkunjung mal pusat tertawa,ridwan kamil why ban south west people from visiting central mall laughing,Netral
mandiri suka ya,independent like it yeah,Netral
ridwan kamil kobayakawa hideaki dharma pangrekun li naomasa pramono anung todo takatora,ridwan kamil kobayakawa hideaki dharma pangrekun li naomasa pramono anung todo takatora,Netral
semoga kemenangan dharma pongrekun wakilnya,"may the victory of dharma pongrekun, his deputy, be",Netral
pilih dharma pongrekun hi warga jakarta,choose dharma pongrekun hi jakarta residents,Netral
nomor dua lucu sumpah duduk kursi gubernur visi misi jakarta menjalankan berpikir inovasi,number two funny oath sit governor's chair vision mission jakarta run think innovation,Positif
nomor urut tiga usung partai nasionalis sambutan nya menyapa kaum minoritas ayo warga jakarta sia sia-sia kesempatan mendukung ridwan kamil kompeten sejuta pengalaman figur santun berwibawa,"number three carries the nationalist party, his speech greets the minorities, come on jakarta residents, the opportunity to support ridwan kamil is wasted, competent, has a million experiences, a polite and authoritative figure",Positif
dua saja diperbudak kepentingan partai oligarki,only two are enslaved by the interests of the oligarchic party,Netral
dua realistis,two realistic,Positif
mengajak masyarakat jakarta memilih pasangan darmakun beliau sungguh-sungguh terpanggil hati warga jakarta didukung partai politik kepentingan insyaallah darmakun diintervensi kanan maju jalur mandiri masyarakat menjaga mengawasi beliau terpilih jakarta kedepan niat insya Allah nya berjalan darmakun sosok insyaallah,"inviting the people of jakarta to choose the darmakun pair, he is truly moved by the hearts of the people of jakarta, supported by political parties, interests, god willing, darmakun is intervened by the right, advancing independently, the community is guarding, supervising, he is elected, jakarta in the future, god willing, his intentions will run, darmakun is a figure, god willing",Positif
sarjana hukum pendukung pramono sayangnya salam pembukanya,law graduates support pramono unfortunately his opening greeting,Negatif
dua menarik,two interesting,Positif
tiga dua,three two,Netral
dua bagus,two good,Positif
orang jakarta mendoakan semoga insyaallah dharma pongrekun terpilih gubernur jakarta,jakarta people pray that god willing dharma pongrekun will be elected governor of jakarta,Positif
dua tiga bicara,two three talk,Netral
calon wakil gubernur dua pengangguran asal-asalan banget,the two unemployed deputy governor candidates are really careless,Negatif
dua dharma,two dharmas,Netral
dua jawabannya normatif,two normative answers,Netral
coblos pilih mandiri jokowi campur kali murni koalisi indonesia maju perluasan dinasti mega bertempur memilih ya mandiri dharma kun menyala,vote choose independent jokowi mix times pure coalition indonesia advance expansion dynasty mega fight choose yes independent dharma kun lights up,Positif
lucu dua stand up komedi,funny two stand up comedy,Positif
dharma pongrekun terbaik,the best dharma pongrekun,Positif
menarik dharma nomor dua,draw dharma number two,Netral
jakarta mandiri,jakarta independent,Netral
dua pilihan terbatas edisi,two limited edition options,Negatif
mendukung dua petugas partai,support two party officials,Netral
nomor urut dua sungguh adabnya dipakai binasa,serial number two is really bad manners to use to destroy,Negatif
tuhan memberkati dharma kun berjalanlah tuhan hasil hak prerogatif tuhan,god bless dharma kun walk god is the result of god's prerogative,Netral
prediksi tiga dua dua satu satu tiga meleset prediksi lampu berhenti,prediction three two two one one three missed stop light prediction,Positif
pilih nomor dua bebas kepentingan partai,choose number two free from party interests,Positif
dengar argumen dharma menegur,hear dharma's argument rebuke,Netral
warga jakarta memilih calon mandiri orang partai bicaranya saja,"jakarta residents choose independent candidates, party people only talk",Netral
nomor dua masuk akal inti jakarta insya Allah nomor dua maju,number two makes sense core jakarta god willing number two progress,Positif
insya Allah nomor dua melanjutkan anies,"god willing, number two continues anies",Positif
dua undang-undang ujung ujungnya adab,"two laws, one end of manners",Netral
dharma kun oke pilihan rakyat jakarta,dharma kun okay choice of the people of jakarta,Positif
calon mandiri salah pilih mandiri memimpin dikendalikan partai percaya disitulah kemajuan perilaku koruptif was was,independent candidate wrong choice independent lead controlled by party believe that is where progress corrupt behavior is worried was,Negatif
tinggal kalimantan timur debat pilihan cocok rakyat jakarta nomor dua dharma kun oke,east kalimantan remains debate choice suitable for the people of jakarta number two dharma kun okay,Positif
pengguna media sosial dibayar dua satu orang akun komentar suka akun rido realistis cerdas ahli tata kota,social media users get paid two one person account comment like account rido realistic intelligent urban planning expert,Positif
dua ratus juta rukun warga wujudkan,two hundred million citizens' associations realized,Netral
pengguna media sosial dibayar calon mandiri kampanye saja pilih-pilih anggaran membludak dituduh pengguna media sosial dibayar pelajari sejarahnya indonesia calon mandiri modal sekuat,social media users are paid independent candidates campaign only picky budgets are overflowing accused of being paid social media users learn the history of indonesia independent candidates with strong capital,Positif
saudara satu orang akun satu orang saudara butuh modal zaman ponsel pintar email hp saja puluhan ratusan,brother one person account one person brother need capital in the era of smart phones email cellphones only tens hundreds,Positif
dua tiga berbusa omong layak dipilih jakarta butuh sosok ridwan kamil suswono wujudkan jakarta tertata berwarna segudang pengalamannya wawasan teruji terbukti sukses memimpin daerah bersih korupsi agamis presiden terpilih prabowo subianto memudahkan dukungan anggaran pusat membangun jakarta terbaik ridwan kamil suswono dibutuhkan bangun jakarta,"two three foaming talk worthy of being elected jakarta needs the figure of ridwan kamil suswono to realize a jakarta that is orderly and colorful with a wealth of experience, proven insight, proven successful in leading a region that is clean from corruption, religious, president-elect prabowo subianto, facilitates central budget support to build the best jakarta, ridwan kamil suswono is needed to build jakarta",Positif
abang dua ratus juta rukun warga wujudkan,"brother, two hundred million harmonious citizens make it happen",Netral
dharma pintar bicara terhipnotis kata-kata nya,dharma is a clever talker hypnotized by his words,Positif
pilih pemimpin agama islam saja satu mendukung,choose only one islamic religious leader to support,Netral
dua terbaik,two best,Positif
dua jam pantau debat ya,two hours of monitoring the debate yeah,Netral
