lemmatize_data,translate_data,sentimen
ridwan kamil mobil bebas malam kelurahan malam senin dijamin sepi pengunjungnya malam senin kebanyakan orang tidur cepat besoknya senin super sibuk,ridwan kamil free car night kelurahan monday night guaranteed quiet monday night most people go to sleep early the next day monday super busy,Positif
ridwan kamil salah COVID-19 darmakun,ridwan kamil wrong covid-19 darmakun,Negatif
tolong calon dua tiga debatnya lihat jejak rekam satu memimpin jawa barat,"please, candidates two or three in the debate, look at the track record of one leading west java",Netral
ridwan kamil,ridwan kamil,Netral
salut semangat dharma pongrekun salah satu warga terbaik bangsa fasilitas terbatas mandiri wajar saja kekurangan dibandingkan pasangan calon semangat sesuai makna terdalam pancasila kota aman beradab terpercaya terdalam bangsa semoga dharma pongrekun menduduki posisi pemerintahan menjaga bangsa indonesia serangan kekuatan asing program internet mandiri kartu membuka lap pekerjaan pendidikan kesehatan mandiri campur tangan kekuatan asing,salute the spirit of dharma pongrekun one of the best citizens of the nation limited facilities independent it is natural that there are shortcomings compared to candidate pairs enthusiasm according to the deepest meaning of pancasila safe civilized city trusted deepest nation hopefully dharma pongrekun will occupy a government position protecting the indonesian nation foreign power attacks independent internet program card opening lap jobs education health independent foreign power interference,Positif
pasangan calon satu kampanyenya berhubungan uang terpukau rakyat pihak-pihak memegang uangnya alirannya sasaran-sasarannya membuka peluang korupsi penghargaan pemerintah rukun warga rukun tetangga digaji sekian butuh pemimpin benar-benar peduli adil benar-benar konsentrasi kekurangan-kekurangan jakarta ruang lingkup sumber daya manusia akumulasi rakyatnya kemakmuran uangnya membuka lapangan pekerjaan ciptakan inovasi lapangan pekerjaan bermanfaat,candidate pair one campaign related to money fascinated the people parties hold the money its flow its targets open up opportunities for corruption government awards neighborhood associations paid so much need a leader who really cares fair really concentrates jakarta's shortcomings scope of human resources accumulation of its people prosperity its money opens up job opportunities create innovation useful job opportunities,Positif
calon gubernur nomor urut satu mengurus jawa barat merata kesejahteraan nya bereskan jawa barat,"gubernatorial candidate number one takes care of west java, spreads prosperity evenly, sorts out west java",Netral
ridwan kamil domisili bandung,ridwan kamil lives in bandung,Netral
ridwan kamil,ridwan kamil,Netral
suswono banget lemah lambat lambat coba belajar suswono panggung,"suswono is very weak, slowly try to learn, suswono is on stage",Negatif
rido menang,rido wins,Positif
warga jakarta logika ridwan kamil mengatasi macet sungai jalan lintasi sungai omong-omong pendangkalan banjir sampah kali sungai saja terselesaikan logika,jakarta residents logic ridwan kamil overcomes river traffic jams road across the river by the way shallowing flooding garbage river can be solved logic,Netral
visi misi tiga membaca bagus pasangan rido visi misi langsung diutarakan teks pasangan dua menyambung debatnya adab adab saja dibahas sasaran didebatkan rido the terbaik,vision mission three read good rido couple vision mission directly expressed text couple two continue their debate manners manners only discussed targets debated rido the best,Positif
parah satu tiga mengurusi jakarta mengurusi partainya,serious one three taking care of jakarta taking care of his party,Negatif
partai abang pilih partainya sangkut paut partai sekuat ridwan kamil bantu rakyat saja partai hati hati tuan anies dua intinya kesalahan berpolitik partai saja omong kosong lihat orangnya lihat kemampuannya jakarta maju individu abang the terbaik jokowi pindahkan ibukota,party brother choose the party related to the party as strong as ridwan kamil just help the people party be careful mr anies two the point is the mistake of politics party is just nonsense look at the person look at his ability jakarta advance individual brother the best jokowi move the capital,Positif
rido cerdas menyelesaikan jakarta solusi jakarta global rasional,rido smart solve jakarta solution jakarta global rational,Positif
rido the terbaik the gubernur daerah khusus ibukota jakarta,rido the best the governor of the special capital region of jakarta,Positif
warga jakarta lahir jakarta jujur kerja cari kawan mengasih info lowongan pekerjaan giliran kerja potong pajak negara jujur orang mencari uang orang kaya,jakarta residents born in jakarta honest work looking for friends giving job vacancy information shift work cut tax country honest people looking for money rich people,Positif
juru bicara satu kader partai solidaritas indonesia pilih pemimpin alangkah baiknya memilih berpengalaman jejak recordnya partai solidaritas indonesia memilih ketua partainya kaesang pengalaman partai politik,"spokesperson for a cadre of the indonesian solidarity party, it would be better to choose a leader with experience in his track record, the indonesian solidarity party chooses its party leader, kaesang, experience in political parties",Positif
satupun pilih,none choose,Netral
berhasil dilantik ridwan kamil siswono pokoknya mantap,"successfully inaugurated ridwan kamil siswono, it's really solid",Positif
garis satu inovatif kreatif kepentingan rakyat mendasar sisa pasangan titik target terbesar menjabat terkesan mengikuti suka bandingkan jawa barat jakarta buka mata segi luas wilayah saja berbeda anggarannya intinya ridwan kamil layak memimpin wilayah kondisi geologis otoritas jakarta layaknya wali kota,line one innovative creative basic people's interests remaining pair biggest target point serving impressed following like compare west java jakarta open eyes in terms of area only budget is different in essence ridwan kamil is worthy of leading the region geological conditions authority jakarta like mayor,Positif
pasangan calon dua boneka rezim memenangkan ridwan kamil,candidate pair of two regime puppets wins ridwan kamil,Positif
jawa barat macetnya tuntas tertawa ridwan kamil mimpi basah,west java traffic jam is over laughing ridwan kamil wet dream,Negatif
pilih dua jalur mandiri salah satu visi utamanya menjadikan jakarta zona aman pandemi indonesia semoga jakarta intervensi partai politik muak partai tuan maling,"choose two independent paths, one of the main visions is to make jakarta a safe zone for the indonesian pandemic, hopefully jakarta will intervene with political parties, fed up with the party, the master thief",Positif
juru bicara nomor satu sombong,number one arrogant spokesperson,Netral
nomor satu saja,number one only,Netral
satu realistis bingung apa-apa,one realistic confused nothing,Negatif
abang ridwan najis tertawa,ridwan's unclean brother laughs,Netral
nomor dua bagus canggung grogi berpikir-pikir aslinya nya ditambah satu dua ahli berpengalaman menarik intinya,number two good awkward nervous thinking the original plus one or two experienced experts interesting the point,Positif
bandung sibuk,bandung is busy,Positif
lihat muka sih suswono saja muak,just looking at suswono's face makes me sick,Negatif
jawa barat gubernur nya tinggal bandung saja kota kotor banget sistem nya jalan wali kota orang gubernur minimal kota nya tertata kaya kota-kota jawa rapi-rapi,"west java, the governor is only bandung, the city is very dirty, the system is run by the mayor who is the governor, at least the city is organized like the neat cities in java",Negatif
ridwan kamil janji sekolah gratis negeri swasta janjinya berkobar pencitraan ridwan kamil gubernur jawa barat sekolah lanjutan tingkat mayoritas bayar uang sekolah warga daerah khusus jakarta ridwan kamil janji pencitraan warga bandung,"ridwan kamil promises free public and private schools, his promise is blazing, image building, ridwan kamil, governor of west java, secondary schools, the majority pay school fees, residents of the special region of jakarta, ridwan kamil promises image building, residents of bandung",Positif
ridwan kamil omong saja,ridwan kamil just talk,Netral
menggaet suara generasi saja satu omong-omong arah dana-dana solusi-solusi pekerjaan pengembangannya anggaran-anggaran dana butuhkan jatuhnya omong-omong tertawa,attracting the voice of the generation just one by the way direction of funds solutions development work budgets funds need fall by the way laugh,Positif
orang bogor puas kinerja ridwan kamil gubernur jawa barat silakan pilih daerah khusus ibukota ridwan kamil gubernur gagal,"bogor people are satisfied with the performance of ridwan kamil, the governor of west java, please choose the special capital region, ridwan kamil, the governor failed",Positif
warga jawa barat mustahil memuaskan warganya gubernur nya,west java residents find it impossible to satisfy their governor,Negatif
dua tiga hormat satu ajak,two three respect one invite,Netral
satu,one,Netral
giliran debat laksanakan maksimal ridwan kamil mantap gigi nya partai demokrasi indonesia perjuangan lepas pengecut sih doel ha ha,debate turn do your best ridwan kamil steady his teeth the indonesian democratic party struggle free coward huh doel ha ha,Positif
menarik mantan gubernur jawa barat hidup rido,interesting former governor of west java lives rido,Positif
ridwan kamil suswono juara satu,ridwan kamil suswono won first place,Positif
rido oke programnya bagus-bagus,rido okay the program is good,Positif
satu menang partai berpesta pora pengawasan pilih calon partai demokrasi indonesia perjuangan,one win party party supervision choose candidate party democracy indonesia struggle,Positif
debat debat bermutu dua pasangan calon satu tiga partai partai mandiri janji palsu,debate quality debate two pairs of candidates one three parties independent party false promises,Negatif
tuan kamil cerdas lancar teks,mr. kamil is smart and fluent in text,Positif
jakarta ridwan kamil,jakarta ridwan kamil,Netral
mengapai ridwan kamil jakarta,why ridwan kamil jakarta,Netral
tiongkok yaman bandung saja jakarta,china yemen bandung jakarta only,Netral
sih kun sih ridwan kamil,"oh my gosh, ridwan kamil",Netral
satu tiga boneka jokowi suka vaksin,one three jokowi dolls like vaccines,Netral
ridwan kamil mengapai melarang orang selatan barat berkunjung mal pusat tertawa,ridwan kamil why ban south west people from visiting central mall laughing,Netral
ridwan kamil kobayakawa hideaki dharma pangrekun li naomasa pramono anung todo takatora,ridwan kamil kobayakawa hideaki dharma pangrekun li naomasa pramono anung todo takatora,Netral
ridwan kamil muda berprestasi suswono terpercaya islami,"ridwan kamil, a young achiever, suswono, a trusted islamic figure",Positif
nomor urut tiga usung partai nasionalis sambutan nya menyapa kaum minoritas ayo warga jakarta sia sia-sia kesempatan mendukung ridwan kamil kompeten sejuta pengalaman figur santun berwibawa,"number three carries the nationalist party, his speech greets the minorities, come on jakarta residents, the opportunity to support ridwan kamil is wasted, competent, has a million experiences, a polite and authoritative figure",Positif
satu,one,Netral
jakarta mania anti ridwan kamil jakarta tolak ridwan kamil,jakarta mania anti ridwan kamil jakarta rejects ridwan kamil,Netral
the jakarta mania berkenan ridwan kamil gubernur,the jakarta mania pleases ridwan kamil as governor,Netral
menarik mantap nomor satu ridwan kamil pasangan rido konsep,attractive steady number one ridwan kamil couple rido concept,Positif
jakarta dipimpin ridwan kamil pengendalian otomatis hilang radar kotak hitamnya ditemukan samudera hindia tenggelam persis mh370,jakarta led by ridwan kamil automatic control lost radar black box found in indian ocean sank exactly mh370,Positif
transportasi nomor satu realistis,realistic number one transportation,Positif
ridwan kamil berpengalaman banget jawaban-jawabannya berkualitas santai,ridwan kamil is very experienced and his answers are of a relaxed quality,Positif
menjual hubungan istana tertawa rido rido kelakar antek rezim oligarki,selling palace relationship laughing rido rido jokes lackeys oligarchic regime,Netral
prediksi tiga dua dua satu satu tiga meleset prediksi lampu berhenti,prediction three two two one one three missed stop light prediction,Positif
peringatan darurat pemilihan kepala daerah bersatu melawan penguasa lalim melawan mencegah menghambat mengurangi menghentikan berkembangnya meluasnya kekuatan penguasa lalim bentuknya koalisi indonesia maju perluasan pemilihan kepala daerah koalisi indonesia maju koalisi indonesia maju partai gerakan indonesia raya partai golongan karya partai demokrat perserikatan bangsa-bangsa partai gelora indonesia partai solidaritas indonesia garuda perluasan partai nasional demokrat partai kebangkitan bangsa partai keadilan sejahtera partai persatuan pembangunan partai persatuan indonesia partai buruh lawan penguasa lalim koalisi indonesia maju tambahannya pemilihan kepala daerah serentak suara lawan musuh koalisi indonesia maju perluasan lawan musuh koalisi indonesia maju perluasan partai demokrasi indonesia perjuangan pertahankan konstitusi keputusan nomor pengajuan undang-undang xxii pengajuan undang-undang xxii dewan perwakilan rakyat partai demokrasi indonesia perjuangan fraksi partai dewan perwakilan rakyat setuju revisi rancangan undang-undang pemilihan kepala daerah fraksi partai partai demokrasi indonesia perjuangan setuju revisi rancangan undang-undang pemilihan kepala daerah suara pasangan calon kepala wakil gubernur wali kota bupati koalisinya partai demokrasi indonesia perjuangan pemilihan kepala daerah serentak satu satunya mengimbangi kekuatan politik koalisi indonesia maju perluasan penguasa lalim jakarta menyala indonesia menyala merdeka freedom merdeka sebarkan berita seluas luasnya,emergency warning regional head elections united against tyrants against prevent inhibit reduce stop the development of the expansion of the power of tyrants its form coalition of advanced indonesia expansion regional head elections coalition of advanced indonesia coalition of advanced indonesia great indonesia movement party functional group party democratic party united nations gelora indonesia party indonesia solidarity party garuda expansion national democratic party national awakening party justice and prosperity party united development party indonesia labor party against tyrants coalition of advanced indonesia addition simultaneous regional head elections vote against enemy coalition of advanced indonesia expansion fight against enemy coalition of advanced indonesia expansion democratic indonesia party struggle defend the constitution decision number submission of law xxii submission of law xxii people's representative council of indonesia democratic party struggle party faction of people's representative council agree revision of draft law on regional head elections vote of candidate pairs head deputy governor mayor regent coalition its party of indonesia democratic struggle simultaneous regional head elections the only one balancing political power coalition of advanced indonesia expansion tyrants jakarta lights up indonesia lights up independence freedom independence spread the news as widely as possible,Positif
bismillah nomor satu,bismillah number one,Netral
balai latihan kerja ditambah tiga satu peminat ruang terbatas tambahlah ruang kelas balai latihan kerja blk disamping balai latihan kerja batu loncatan menunggu panggilan kerja,job training center plus three one limited space enthusiasts add classrooms job training center blk next to job training center stepping stone waiting for job call,Negatif
ridwan kamil layak,ridwan kamil deserves it,Netral
nomor tiga tipu gratis ketawa ridwan kamil pemenang nya ketawa tertawa,number three free trick laugh ridwan kamil the winner is laugh laugh,Positif
satu menarik jakarta,one interesting jakarta,Positif
rido tiada tanding prestasinya orangnya santun cerdas tenang,"rido is unmatched in his achievements, he is polite, intelligent, calm",Positif
satu the terbaik sabar tenang berpengalaman,one of the best patient calm experienced,Positif
pengguna media sosial dibayar dua satu orang akun komentar suka akun rido realistis cerdas ahli tata kota,social media users get paid two one person account comment like account rido realistic intelligent urban planning expert,Positif
saudara satu orang akun satu orang saudara butuh modal zaman ponsel pintar email hp saja puluhan ratusan,brother one person account one person brother need capital in the era of smart phones email cellphones only tens hundreds,Positif
dua tiga berbusa omong layak dipilih jakarta butuh sosok ridwan kamil suswono wujudkan jakarta tertata berwarna segudang pengalamannya wawasan teruji terbukti sukses memimpin daerah bersih korupsi agamis presiden terpilih prabowo subianto memudahkan dukungan anggaran pusat membangun jakarta terbaik ridwan kamil suswono dibutuhkan bangun jakarta,"two three foaming talk worthy of being elected jakarta needs the figure of ridwan kamil suswono to realize a jakarta that is orderly and colorful with a wealth of experience, proven insight, proven successful in leading a region that is clean from corruption, religious, president-elect prabowo subianto, facilitates central budget support to build the best jakarta, ridwan kamil suswono is needed to build jakarta",Positif
menarik rido pilih nomor satu,draw rido choose number one,Netral
pilih pemimpin agama islam saja satu mendukung,choose only one islamic religious leader to support,Netral
rawon lemes,soft rawon,Positif
pramono doel mewakili rakyat jakarta rawon menghina jakarta,pramono doel represents the people of jakarta rawon insults jakarta,Netral
nyoblos ketiganya saja kasih peluang satu,just vote for all three and you'll get one chance,Netral
satu,one,Netral
komentar anomali ya data survei elektabilitas satu unggul sekian banyaknya komentar minim pendukung satu lembaga survei permainan,anomalous comments yes electability survey data one is superior so many comments minimal supporters one survey institution game,Positif
memilih tuan kamil siswono orangnya sabar menerima aspirasi rakyatnya orangnya sederhana,"choose mr. kamil siswono, he is a patient person who accepts the aspirations of his people, he is a simple person",Netral
debat lihat tuan ridwan kamil berpotensi banget memajukan kota jakarta,debate see sir ridwan kamil has great potential to advance the city of jakarta,Positif
ridwan kamil bagus omong omong saja,ridwan kamil is good at just talking,Positif
satu anteknya dinasti mulyono fufufafa,one of the lackeys of the mulyono dynasty fufufafa,Netral
puas lihat debat perdana panas santun menghargai menjatuhkan mengisi hebat pasangan calon satu dua tiga,"satisfied to see the first debate, hot, polite, respectful, dropping, filling, great, candidate pair one, two, three",Positif
ridwan kamil mantap kawan,"ridwan kamil, great friend",Positif
satu tiga pelayan sutradara berpihak rakyat rakyat tumbal,one three servants director side with the people people sacrifice,Netral
menarik substansi nomor satu kuncinya uang uang nomor dua kebanyakan teori konspirasi nomor tiga normatif substansi efek jokowi ya pramono nya berniat rakyat poin² menjanjikan omong kosong memilih coblos,interesting substance number one the key is money money number two most conspiracy theories number three normative substance effect jokowi yes pramono his intention people points2 promises nonsense choose vote,Positif
tahi kucing jawa barat saja sekolah sekolah menengah kejuruan masuk juta bohong ridwan kamil,west java cat shit only vocational high school admission million lies ridwan kamil,Positif
ridwan tenang beban jawa barat saja berantakan,"ridwan is calm, west java's burden is a mess",Positif
nomor satu membahas dana tertawa rukun warga mahal mahal banget,number one discusses the community laugh fund is very expensive,Negatif
nomor satu membahas dana rukun warga tertawa,number one discusses neighborhood funds laughing,Netral
mudah mudahan ridwan kamil menang,hopefully ridwan kamil wins,Positif
orang jambi salut saja tuan ridwan kamil orangnya tenang ceroboh emosi satu dua tiga,"jambi people just salute mr. ridwan kamil, he is a calm person, careless, emotional one, two, three",Negatif
satu tiga progam biaya taukah arahnya,one three cost program do you know the direction,Netral
ridwan kamil iya,ridwan kamil yes,Netral
pasangan calon nomor dua mandiri kalah pasangan calon nomor satu pasangan calon nomor dua menghargai hormat pasangan calon nomor tiga kesimpulan debat perdana debat pengaruh pasangan calon nomor tiga mempuni gubernur jakarta,candidate pair number two independently loses candidate pair number one candidate pair number two respects candidate pair number three conclusion of the first debate debate influence candidate pair number three has the governor of jakarta,Negatif
nomor satu perencanaan nomor dua realistis nomor tiga mengalir saja sih tanggap,number one planning number two realistic number three just flow responsive,Positif
ketiganya rekam jejak rakyat daerah sih ridwan kamil suka menjelekkan warga jakarta tinggikan ridwan kamil dibanding jakarta mania parah dua rekam jejak apa-apa rakyat daerah,"the third is the track record of the local people, ridwan kamil likes to badmouth the people of jakarta, elevate ridwan kamil compared to jakarta mania, the second is the track record of the local people, nothing.",Netral
ya cari saja rekam jejak jabatan rekam jejak kali pengguna media sosial dibayar cari iya pasangan calon satu dua tiga rekam jejak mengapai saja kegiatannya undang podcast-podcast cerna mereka-mereka rekam jejaknya,"yes, just look for the track record of the position, track record of times, social media users are paid to look for yes, candidate pairs one two three track records, just reach their activities, invite podcasts, digest them, their track records",Positif
menarik satu mencari-cari kesalahan menjatuhkan pilihan sulit mantap,interesting one looking for fault dropping tough choices steady,Positif
akses komisi pemilihan rezim mulyono mandiri partai berani pasangan calon satu tiga,access election commission regime mulyono independent party brave candidate pair one three,Positif
tiga tiga nya layak pimpin daerah khusus ibukota ridwan kamil suswono dharma kun pramono rano,"the three of them are worthy of leading the special capital region, ridwan kamil suswono, dharma kun pramono rano",Positif
tuan ridwan kamil nya kondisi kebutuhan jakarta jakarta butuh pemimpin tuan kamil bismillah hak tuan,"mr. ridwan kamil, the condition of jakarta's needs, jakarta needs a leader, mr. kamil, bismillah, your right",Positif
suka hina-hina perilaku warga jakarta maksudnya utamakan ridwan kamil dibanding persatuan sepak bola indonesia jakarta mana-mana diusir,"likes to insult the behavior of jakarta residents, meaning he prioritizes ridwan kamil over the indonesian football association, jakarta is being expelled everywhere",Netral
ridwan kamil mantap,ridwan kamil is great,Positif
satu tiga satu kubu,one three one camp,Netral
badut menyambung jabarkan sesuai visi misinya menyambung debatnya tertawa,"clown continues to explain according to his vision and mission, continues his debate laughing",Netral
ridwan kambing mundur saja dikomentari pedas rakyat indonesia,ridwan kambing just stepped down after being commented on harshly by the indonesian people,Negatif
debat unggul nomor satu rido nilai nomor dua pramono nilai nomor tiga dharma kun nilai aspek lihat pengetahuan skill kemampuan mengatasi dilapangan,debate superior number one rido value number two pramono value number three dharma kun value aspect see knowledge skill ability to overcome in the field,Positif
tanggapan pramono rido kesulitan menyewa bang disabilitas,pramono rido's response to the difficulty of hiring a disabled person,Negatif
pramono rido daerah khusus jakarta kota global penyandang disabilitas jakarta jakarta maju inovasi berkeadilan memiliki hak disabilitas mendesain tata kota hak orang,pramono rido special region of jakarta global city people with disabilities jakarta advanced jakarta innovation with justice have disability rights designing city planning people's rights,Positif
tanggapan siswono kun desain musyawarah level rukun tetangga prioritas saja berkeadilan menarik,siswono kun's response to the design of the neighborhood level deliberation is a priority that is fair and interesting,Positif
tanggapan dharma kamil proporsionalnya ekonominya beda beda,dharma kamil's response is that the economic proportions are different,Positif
dharma rido mekanisme uang anggaran pendapatan belanja daerah rukun tetangga tim membina teori desentralisasi bali kota rukun tetangga rukun warga mobil bebas malam generasi saja diatur peraturan gubernur pembiayaan pelaksanaannya realistis,dharma rido mechanism of money budget revenue expenditure regional neighborhood association team fostering decentralization theory bali city neighborhood association citizens association car free night generation only regulated by governor's regulations financing implementation realistic,Positif
tanggapan pramono tanggapan rido ekonomi kreatif menjanjikan,pramono's response rido's response creative economy is promising,Positif
tanggapan rido modal cowok pemerintah daerah hadir ekonomi digital menarik banget,"rido's response to the regional government's capital guy is present, the digital economy is very interesting",Positif
ridwan pramono pemutusan hubungan kerja generasi saja gagasannya pramono dimana saja pemutusan hubungan kerja konsultasi generasi saja diarahkan ekonomi kreatif pertanyaanku peran daerah khusus jakarta,ridwan pramono termination of employment generation only pramono's idea anywhere termination of employment generation only consultation directed at creative economy my question role of special region of jakarta,Positif
ridwan dharma COVID-19 dharma teliti isu,ridwan dharma covid-19 dharma research issues,Netral
tanggapan siswono satu modal kewirausahaan dua gerakan anak muda tiga pelatihan magang realistis,siswono's response one entrepreneurial capital two youth movements three realistic internship training,Positif
siti zuhro ambil bola subtema ketahanan budaya huruf sih kun wardana ketahanan budaya betawi perkampungan budaya strategi lumayan budaya betawi punah kun wardana satu meningkatkan kesadaran membangun sekolah dasar dua sarana prasarana rukun tetangga tiga penggunaan gratis fasilitas dana abadi seniman kesejahteraan seniman pekerjaannya biayanya,siti zuhro takes the ball sub-theme cultural resilience letters sih kun wardana betawi cultural resilience cultural village strategy quite betawi culture is extinct kun wardana one increasing awareness building elementary schools two infrastructure neighborhood associations three free use of facilities artist endowment fund artist welfare their work costs,Positif
tanggapan siswono tanggapan terima kasih dukungan setuju,siswono's response response thank you support agree,Netral
tanggapan rano siswono tata kelola pemerintahan koordinasi pemerintah daerah pusat,"rano siswono's response to governance, coordination of central and regional governments",Netral
tanggapan kun suswono terkait tata kelola pemerintah koordinasi daerah khusus jakarta pusat efisiensi birokrasi transparansi digital setuju siswono,kun suswono's response regarding the governance of the central jakarta special regional coordination bureaucratic efficiency digital transparency agrees siswono,Positif
suswono kualitas udara tata kelola pemerintahan aduan langsung digital dana dikelola transparan menarik,suswono air quality governance governance direct complaints digital funds managed transparently attractive,Positif
debat ridwan menampak cerdas realistis,ridwan's debate looks intelligent and realistic,Positif
tanggapan rido sumber daya manusia satu rukun tetangga rukun warga kemandirian realistis,rido response human resources one neighborhood association citizens' association independence realistic,Positif
tuan kamil suswono,mr. kamil suswono,Netral
ridwan kamil berat lawan rano karno semoga ridwan kamil menang,"ridwan kamil is tough against rano karno, hopefully ridwan kamil will win",Positif
menang ridwan kamil,ridwan kamil wins,Positif
ridwan kamil membosankan sumpah seru lihat tuan pramono dharma,"ridwan kamil is boring, i swear it's exciting to see mr. pramono dharma",Negatif
satu tiga peluang korupsi sulit perubahan dua ideal sulit rakyat sadar,one three opportunities corruption difficult change two ideals difficult people aware,Negatif
visi misi baca teks hati bapak-bapak kecuali nomor satu sih terbaik,vision mission read the text of the hearts of the fathers except number one is the best,Positif
