lemmatize_data,translate_data,sentimen
tuan pramono abang doel pimpin jakarta,"mr. pramono, brother doel, leads jakarta",Netral
pilih salah satu saja pramono rano karno dharma kun,just choose one pramono rano karno dharma kun,Netral
sih rano depannya ya sih ganjar sifatnya saja hati,"the front is rano, yes, ganjar's nature is just heart",Netral
tiga tuan pramono abang doel,three lords pramono brother doel,Netral
nomor urut tiga preman pasar pakaiannya cari muka model debat resmi sopan menggoda pendukung persatuan sepak bola indonesia jakarta,serial number three thugs market clothes looking for face model debate official polite teasing supporters of the indonesian football association jakarta,Netral
rano karno sombong saja,rano karno is just arrogant,Netral
menyerahkan mas pramono abang doel,handing over mr. pramono to brother doel,Netral
debat kamil paranoid dharma,kamil paranoid dharma debate,Netral
orang mengerti pendidikan jasa negara sombong nomor urut tiga,people understand education services state arrogant number three,Netral
calon gubernur nomor urut dua kerja mengomong nya saja berbelok-belok cerdas nomor urut satu tiga,"gubernatorial candidate number two works, his speech is always convoluted, smart, number one three",Positif
satu tiga calon partai politik identik perebutan kekuasaan perebutan tongkat kekuasaan terlepas jatuh dua mengambilnya mudah bawa garis menyelesaikan,one three candidates identical political parties struggle for power struggle for the baton of power slipped away fell two take it easy bring the line finish,Positif
nomor tiga auranya bagus,number three the aura is good,Positif
alumni institut teknologi bandung fan berat anies coblos tiga pilih darmakun poin realistis sistem prioritas mengutamakan adab,"bandung institute of technology alumni are big fans of anies, vote three, choose dharmakun, realistic points, priority system prioritizes manners",Positif
ketiga calon ya nomor satu daerah khusus ibukota,the third candidate is number one for the special capital region,Positif
pakai pramono rano semoga memimpin jakarta,use pramono rano hopefully lead jakarta,Netral
pasangan calon tiga wacana saja profesional kerjanya tiga mantap,"three candidate pairs, just three professional, solid work",Positif
gue warga betawi asli pilih tiga menyala abang gue doel,"i'm a native betawi citizen, choose three lights, my brother doel",Netral
mendukung abang karno lanjutkan sih doel sarah situ,"support brother karno, continue with that doel sarah",Netral
banteng merah dipilih ya banteng memporak-porandakan jakarta,red bull is chosen yes the bull destroys jakarta,Netral
dharma bagus kun grogi canggung suswono keyakinan sifat pramono lama-lama ya mahfud ganjar debat pemilihan presiden berasal partai politik ya,dharma bagus kun nervous awkward suswono confidence pramono's character it takes a long time mahfud ganjar the presidential election debate comes from political parties,Negatif
rano laksanakan the jakarta,rano carries out the jakarta,Netral
calon gubernur nomor dua unik kesempatan satu tiga layaknya politisi indonesia kemana,gubernatorial candidate number two unique opportunity one three like indonesian politicians where,Positif
ketimpangan indeks gender fokus nya pendidikan khusus menopang pendidikan indeks maksudnya ukuran wanita indonesia ketimpangan pendidikan melemah ukuran sensitif global tiga peserta meluas menjawabnya,gender index inequality focus on special education supporting education index meaning the size of indonesian women education inequality weakens global sensitive size three participants expand answer it,Positif
sih doel tukang insinyur menyala,the engineer is on,Netral
satu tiga bagus program2nya,one three good programs,Positif
tolong calon dua tiga debatnya lihat jejak rekam satu memimpin jawa barat,"please, candidates two or three in the debate, look at the track record of one leading west java",Netral
jokowi gubernur presiden kali luncurkan program kartu jakarta pintar kartu jakarta pintar kartu indonesia pintar kartu indonesia pintar kartu keluarga sejahtera kartu keluarga sejahtera presiden orang kritik prabowo dua tiga calon gubernur mengikuti jejak jokowi program kartu pasangan pramono doel melanjutkan program kartu jakarta pintar,jokowi governor president kali launches jakarta smart card program jakarta smart card indonesia smart card indonesia smart card prosperous family card prosperous family card president people criticize prabowo two three gubernatorial candidates follow in jokowi's footsteps card program pramono doel pair continues jakarta smart card program,Positif
calon dua tiga mengomongnya berbelit,candidate two three spoke in a roundabout way,Netral
nomor tiga debat bawa catatan mimpin jakarta debat saja menyontek,number three debate bring notes lead jakarta debate just cheat,Netral
teriak orang betawi asli cek fakta faktanya orang betawi asli,shouts of a real betawi person check the facts the facts are real betawi people,Positif
job fair tiga kantor kecamatan job adilnya diadakan kerjanya modalnya bantu rakyat bursa kerja tinggal buka forum facebook web job mengakak,job fair three sub-district offices job fair held the work capital help people job fair just open facebook forum web job laugh,Positif
mantap mendukungmu abang doel menang,steady support you brother doel to win,Positif
tiga pasangan calon misi jakarta orientasi kedepan dharma sesuai domisili daerah khusus ibukota nimbrung,"three pairs of candidates for the jakarta mission, future orientation, dharma according to the domicile of the special capital region, join in",Positif
pokoknya pasangan nomor tiga oke,"anyway, pair number three is okay",Positif
visi misi tiga membaca bagus pasangan rido visi misi langsung diutarakan teks pasangan dua menyambung debatnya adab adab saja dibahas sasaran didebatkan rido the terbaik,vision mission three read good rido couple vision mission directly expressed text couple two continue their debate manners manners only discussed targets debated rido the best,Positif
bagus bingung coblos ketiga nya,good confused about the third vote,Positif
parah satu tiga mengurusi jakarta mengurusi partainya,serious one three taking care of jakarta taking care of his party,Negatif
zaman soekarno tertawa hati hati abang salah pilih gubernur daerah khusus ibukota kemarin gagal total abang tertawa tuan anies tuan anies,"soekarno's era laughed, be careful, bro, you chose the wrong governor for the special capital region yesterday, it was a total failure, bro, you laughed, mr. anies, mr. anies",Positif
ahli bicara kejujuran lihat pasangan tiga,honesty speaker see three couples,Netral
lancar sukses pramono abang doel,smooth success pramono brother doel,Positif
mendukung nomor tiga abang doel rano karno,support number three brother doel rano karno,Netral
jokowi setahun diatur partai melarangnya menjabat tiga periode akibatnya jokowi leluasa mengubah konstitusi dinasti keluarga pasangan calon nomor dua terpilih leluasa dana anggaran pendapatan belanja daerah keluarganya partai mengontrolnya,"jokowi was ruled by the party for a year and prohibited him from serving three terms. as a result, jokowi was free to change the constitution. the family dynasty of the candidate pair number two was elected freely. the regional income and expenditure budget funds were freely provided by his family. the party controlled him.",Positif
orang riau mengimbau warga masyarakat jakarta pilih pasangan nomor urut tiga,riau people urge jakarta residents to vote for candidate number three,Netral
tiga tiga nya bagus coblos,three of them are good to vote for,Positif
bersih otak kemana mencatut kartu tanda penduduk kartu tanda penduduk partai partai pilih calon terbaik terburuk dosa kali tuan pramono,clean brain where to use resident card resident card party party choose the best candidate worst sin times mr pramono,Positif
orang membenci hatinya membenci pribadi dibawa kemana biarkanlah menyala dibawah tangan pribumi pribadi nol berfilm memperjuangkan betawi tiga menyala,people hate their hearts hate the individual taken where let it burn under the hands of the native individual zero film fighting for betawi three burning,Negatif
debat pemilihan kepala daerah jakarta kalah debat pemilihan presiden calon nomor tiga mendukung presiden tanda pemenangnya,jakarta regional head election debate lost presidential election debate candidate number three supports the president sign of the winner,Netral
gubernur jakarta gagal pasangan calon nomor tiga segi apapun mempuni pasangan serasi teknokrat handal bersanding budayawan gubernur,jakarta governor failed candidate pair number three in all aspects has a harmonious pair of reliable technocrats paired with cultural figures governor,Negatif
pramono doel oke pilih keluargaku,"pramono doel okay, choose my family",Positif
menyala tuan pramono abang doel,"it's on, mister pramono, brother doel",Netral
visi misi dua tiga nya kaya chat gpt,the vision and mission of the two or three are like gpt chat,Netral
jakarta bekasi sunda betawi budayanya persis makanan,jakarta bekasi sundanese betawi culture is exactly the same as food,Positif
dua tiga hormat satu ajak,two three respect one invite,Netral
pemilihan gubernur dua putaran suara dua berpindah tiga,gubernatorial election two rounds two votes move three,Netral
coblos tiga tiga nya ayo anak abah tunjukkan jakarta,"vote for all three, come on, show me jakarta",Netral
giliran debat laksanakan maksimal ridwan kamil mantap gigi nya partai demokrasi indonesia perjuangan lepas pengecut sih doel ha ha,debate turn do your best ridwan kamil steady his teeth the indonesian democratic party struggle free coward huh doel ha ha,Positif
tiga tiga nya bagus bingung pilih ya bagus coblos saja,"three of them are good, confused about which one to choose, it's good to just vote",Positif
nyoblos tiga tiga nya nyoblos nomor tiga,vote for three three vote for number three,Netral
gue fan ber tiga gue coblos adil,"i'm a fan of three, i voted fairly",Positif
mempercepat semoga tiga menang,speed up hopefully three wins,Positif
debat debat bermutu dua pasangan calon satu tiga partai partai mandiri janji palsu,debate quality debate two pairs of candidates one three parties independent party false promises,Negatif
sungguh aneh orang jakarta memilih tiga pasangan calon,it's really strange that jakarta people choose three pairs of candidates,Negatif
satu tiga boneka jokowi suka vaksin,one three jokowi dolls like vaccines,Netral
ridwan kamil kobayakawa hideaki dharma pangrekun li naomasa pramono anung todo takatora,ridwan kamil kobayakawa hideaki dharma pangrekun li naomasa pramono anung todo takatora,Netral
pasangan calon nomor tiga pasang cctv keamanan wilayah nya utama pramono keamanan narkoba rugi kampung jelek jual beli narkoba menangkap bandar gebernur ternama membersihkan kampung kampung banget,"candidate pair number three installs cctv security in their area, pramono's main security, drugs, loss, bad village, buying and selling drugs, arresting drug dealers, famous governors, cleaning up villages, really",Positif
rano karno bagus,rano karno is good,Positif
nomor urut tiga usung partai nasionalis sambutan nya menyapa kaum minoritas ayo warga jakarta sia sia-sia kesempatan mendukung ridwan kamil kompeten sejuta pengalaman figur santun berwibawa,"number three carries the nationalist party, his speech greets the minorities, come on jakarta residents, the opportunity to support ridwan kamil is wasted, competent, has a million experiences, a polite and authoritative figure",Positif
hati-hati kader partai demokrasi indonesia perjuangan menang digeser diambil alih klan soekarno,"be careful, indonesian democratic party cadres, the struggle to win has been shifted and taken over by the soekarno clan",Positif
pramono sih doel berkualitas,pramono is a quality doel,Netral
nomor tiga kayak anies bawa bawa orang,number three like anies brings people,Netral
sarjana hukum pendukung pramono sayangnya salam pembukanya,law graduates support pramono unfortunately his opening greeting,Negatif
tiga dua,three two,Netral
dua tiga bicara,two three talk,Netral
sih doel pintar film jakarta film,hey doel smart jakarta film film,Positif
rano karno pengangguran jakarta normatif program nya konkretnya,rano karno unemployed jakarta normative program concrete,Positif
abang doel semoga,brother doel hopefully,Netral
penuh coblos nomor tiga,full of votes for number three,Positif
rano karno orang jawa mengaku orang betawi orang sumatra gaya hidup betawi,rano karno javanese people claim to be betawi people sumatran people betawi lifestyle,Netral
prediksi tiga dua dua satu satu tiga meleset prediksi lampu berhenti,prediction three two two one one three missed stop light prediction,Positif
pramono rano realistis muluk-muluk terkesan tulus,pramono rano realistic grandiose seems sincere,Positif
pramono anung,pramono anung,Netral
lihat abang doel sok iya banget ya,"look at brother doel, he's really pretending to be okay, huh?",Positif
abang pramono abang rano gubernur jakarta menyala gubernur,brother pramono brother rano governor of jakarta lights up governor,Netral
selingkuh masuk debat pramono ampun,cheating enters the debate pramono forgiveness,Netral
nomor tiga the terbaik,number three the best,Positif
pramono,pramono,Netral
balai latihan kerja ditambah tiga satu peminat ruang terbatas tambahlah ruang kelas balai latihan kerja blk disamping balai latihan kerja batu loncatan menunggu panggilan kerja,job training center plus three one limited space enthusiasts add classrooms job training center blk next to job training center stepping stone waiting for job call,Negatif
nomor tiga tipu gratis ketawa ridwan kamil pemenang nya ketawa tertawa,number three free trick laugh ridwan kamil the winner is laugh laugh,Positif
nomor tiga terbaik,number three best,Positif
nomor tiga rumit,number three is complicated,Negatif
pramono,pramono,Netral
dua tiga berbusa omong layak dipilih jakarta butuh sosok ridwan kamil suswono wujudkan jakarta tertata berwarna segudang pengalamannya wawasan teruji terbukti sukses memimpin daerah bersih korupsi agamis presiden terpilih prabowo subianto memudahkan dukungan anggaran pusat membangun jakarta terbaik ridwan kamil suswono dibutuhkan bangun jakarta,"two three foaming talk worthy of being elected jakarta needs the figure of ridwan kamil suswono to realize a jakarta that is orderly and colorful with a wealth of experience, proven insight, proven successful in leading a region that is clean from corruption, religious, president-elect prabowo subianto, facilitates central budget support to build the best jakarta, ridwan kamil suswono is needed to build jakarta",Positif
pramono sih doel,pramono is really cool,Positif
pramono doel mewakili rakyat jakarta rawon menghina jakarta,pramono doel represents the people of jakarta rawon insults jakarta,Netral
pasangan calon nomor dua jiwa negatifnya jalur mandiri mengontrol enaknya mandiri setuju pasangan calon nomor tiga suka,candidate pair number two negative soul independent path control the good of being independent agree candidate pair number three likes,Positif
warga jawa mendukung penuh pramono abang doel kesenian jakarta sebentar ibukota mendukung pasangan calon nomor tiga suka,"javanese people fully support pramono abang doel, jakarta's arts, for a moment the capital city supports candidate pair number three, likes",Netral
anak abah masyarakat jakarta cerdas mengikuti pemilihan kepala daerah jakarta pemungutan suara mencoblos ketiga pasangan calon nya,smart jakarta community's children participate in the jakarta regional head election by voting for the three candidate pairs,Positif
nyoblos ketiganya saja kasih peluang satu,just vote for all three and you'll get one chance,Netral
coblos ketiga calon pengaruh pemenangnya,vote for the three candidates influences the winner,Netral
nomor tiga realistis,number three is realistic,Positif
bagus tidur pemungutan suara coblos tiga calon entar sakit hatinya bertambah,good sleep voting vote for three candidates later the heartache will increase,Positif
puas lihat debat perdana panas santun menghargai menjatuhkan mengisi hebat pasangan calon satu dua tiga,"satisfied to see the first debate, hot, polite, respectful, dropping, filling, great, candidate pair one, two, three",Positif
satu tiga pelayan sutradara berpihak rakyat rakyat tumbal,one three servants director side with the people people sacrifice,Netral
pramono rano berkualitas melekat betawinya,pramono rano's quality is attached to betawi,Netral
pasangan pramono sih doel menarik banget,pramono's couple doel is really interesting,Positif
menarik substansi nomor satu kuncinya uang uang nomor dua kebanyakan teori konspirasi nomor tiga normatif substansi efek jokowi ya pramono nya berniat rakyat poin² menjanjikan omong kosong memilih coblos,interesting substance number one the key is money money number two most conspiracy theories number three normative substance effect jokowi yes pramono his intention people points2 promises nonsense choose vote,Positif
mas pramono cerdas,mr. pramono is smart,Positif
warga kalimantan timur mendukung penuh pramono doel daerah khusus ibukota jakarta,"east kalimantan residents fully support pramono doel, the special capital region of jakarta",Positif
ketahuan banget pendukung tiga tertawa,it's really obvious that the three laugh supporters,Positif
pramono rano sih doel,pramono rano is really cool,Positif
sih doel cocok calon gubernur daerah khusus ibukota lihat debat,"doel is a suitable candidate for governor of the special capital region, see the debate",Positif
pembicaraannya mengalir omong omong aja nomor tiga saja ditebak jawabannya ya lakukan berjalan peraturannya aja,"the conversation just flows, just guess the answer to number three, just follow the rules",Netral
tertawa tertawa omong omong buktinya aja terbaik nomor tiga,laugh laugh talk nonsense the proof is the best number three,Positif
orang jambi salut saja tuan ridwan kamil orangnya tenang ceroboh emosi satu dua tiga,"jambi people just salute mr. ridwan kamil, he is a calm person, careless, emotional one, two, three",Negatif
satu tiga progam biaya taukah arahnya,one three cost program do you know the direction,Netral
tiga,three,Netral
nomor tiga kayaknya baca teks disiapkan hatinya,number three seems to read the text prepared his heart,Netral
insya allah pramono doel menang,"god willing, pramono doel will win",Positif
pasangan calon nomor dua mandiri kalah pasangan calon nomor satu pasangan calon nomor dua menghargai hormat pasangan calon nomor tiga kesimpulan debat perdana debat pengaruh pasangan calon nomor tiga mempuni gubernur jakarta,candidate pair number two independently loses candidate pair number one candidate pair number two respects candidate pair number three conclusion of the first debate debate influence candidate pair number three has the governor of jakarta,Negatif
nomor satu perencanaan nomor dua realistis nomor tiga mengalir saja sih tanggap,number one planning number two realistic number three just flow responsive,Positif
ketiganya rekam jejak rakyat daerah sih ridwan kamil suka menjelekkan warga jakarta tinggikan ridwan kamil dibanding jakarta mania parah dua rekam jejak apa-apa rakyat daerah,"the third is the track record of the local people, ridwan kamil likes to badmouth the people of jakarta, elevate ridwan kamil compared to jakarta mania, the second is the track record of the local people, nothing.",Netral
ya cari saja rekam jejak jabatan rekam jejak kali pengguna media sosial dibayar cari iya pasangan calon satu dua tiga rekam jejak mengapai saja kegiatannya undang podcast-podcast cerna mereka-mereka rekam jejaknya,"yes, just look for the track record of the position, track record of times, social media users are paid to look for yes, candidate pairs one two three track records, just reach their activities, invite podcasts, digest them, their track records",Positif
dungu pendiri kayak soekarno hatta sutan syahrir lain-lain debat argumen keras berkelas menyerang mempertahankan kayak debat arisan saja,stupid founders like soekarno hatta sutan syahrir etc. classy loud argument debate attacking defending like a social gathering debate,Negatif
akses komisi pemilihan rezim mulyono mandiri partai berani pasangan calon satu tiga,access election commission regime mulyono independent party brave candidate pair one three,Positif
pramono rano terbaik jakarta,pramono rano the best in jakarta,Positif
anies baswedan acara debat menarik kondusif tentram kecuali anies kontestasi apapun mengganggu panas penuh drama omong kosong tiga tiga nya layak pimpin daerah khusus ibukota,anies baswedan interesting debate event conducive peaceful except anies contestation whatever disturbing heat full of drama nonsense three of them are worthy of leading the special capital region,Positif
tiga tiga nya layak pimpin daerah khusus ibukota ridwan kamil suswono dharma kun pramono rano,"the three of them are worthy of leading the special capital region, ridwan kamil suswono, dharma kun pramono rano",Positif
tuan pramono menarik optimis menang tuan amin,"mr. pramono is optimistic about winning, mr. amin",Positif
pramono doel,pramono doel,Netral
sehat-sehat abang pramono abang rano aturan doa pendukung kesuksesan abang-abang pemilihan gubernur jakarta,stay healthy brother pramono brother rano prayer rules supporting the success of the brothers in the jakarta gubernatorial election,Positif
tuh gue memilih ketiga nya hai berkhayal doang,"i chose all three, just imagining it",Netral
pramono rano pilihan terbaik,pramono rano the best choice,Positif
pramono rano pilihan terbaik,pramono rano the best choice,Positif
pramono rano jaya jaya jaya,pramono rano jaya jaya jaya,Netral
jakarta maju dipimpin pramono rano,jakarta is advancing led by pramono rano,Netral
apapun pilih pramono rano,whatever you choose pramono rano,Netral
satu tiga satu kubu,one three one camp,Netral
terpilih tanah kelahiran betawi tanah kelahiran gua awas hancur lihat saja jakarta kota,"chosen as the birthplace of betawi, my birthplace, beware of destruction, just look at jakarta city",Netral
pramono menarik poll,pramono draws poll,Netral
pramono pilihan,pramono's choice,Netral
pramono the terbaik debatnya pokoknya,pramono is the best debater anyway,Positif
keren banget pramono debatnya,pramono's debate was really cool,Positif
berkualitas debat kali lanjutan pramono,quality debate continued pramono,Netral
pramono anung maju memaparkan visi misi jakarta,pramono anung forward to explain jakarta's vision and mission,Netral
sosok abang pramono abang rano idaman pemimpin jakarta,"the figure of abang pramono, abang rano, the ideal leader of jakarta",Positif
harapan jakarta gemilang duet pramono anung rano karno semoga menang bermartabat,"jakarta's brilliant hope, pramono anung rano karno duet, hopefully they will win with dignity",Positif
menarik banget debatnya pramono,pramono's debate is really interesting,Positif
debat unggul nomor satu rido nilai nomor dua pramono nilai nomor tiga dharma kun nilai aspek lihat pengetahuan skill kemampuan mengatasi dilapangan,debate superior number one rido value number two pramono value number three dharma kun value aspect see knowledge skill ability to overcome in the field,Positif
tanggapan dharma pramono kementerian komunikasi informatika dievaluasi kontrak pemilihan kepala daerah,dharma pramono's response to the ministry of communication and information evaluated the regional head election contract,Netral
tanggapan pramono pramono bocor,pramono pramono's response leaked,Netral
pramono dharma wakil ketua badan siber sandi negara terkait data data rahasia terkurung mandiri internet lupa debat pemilihan kepala daerah,"pramono dharma, deputy chairman of the national cyber and encryption agency, regarding confidential data, independent internet, forgot regional head election debate",Netral
perubahan angka terimakasih tuan pramono,change of numbers thank you mr pramono,Netral
tanggapan pramono rido kesulitan menyewa bang disabilitas,pramono rido's response to the difficulty of hiring a disabled person,Negatif
pramono rido daerah khusus jakarta kota global penyandang disabilitas jakarta jakarta maju inovasi berkeadilan memiliki hak disabilitas mendesain tata kota hak orang,pramono rido special region of jakarta global city people with disabilities jakarta advanced jakarta innovation with justice have disability rights designing city planning people's rights,Positif
pramono dharma langkah preventif teknisnya aparat penegak hukum,pramono dharma technical preventive steps of law enforcement officers,Netral
dharma pramono sumber daya manusia menempatkan cctv kejahatan meningkatkan perekonomian rakyat insentif rendah kali dua menaikkan ekonomi mengatasi permasalahan sosial menarik,dharma pramono human resources placing cctv crime increasing people's economy low incentives times two increasing the economy overcoming social problems interesting,Positif
nomor tiga sesuai gubernur daerah khusus ibukota,number three according to the governor of the special capital region,Positif
tanggapan pramono tanggapan rido ekonomi kreatif menjanjikan,pramono's response rido's response creative economy is promising,Positif
ridwan pramono pemutusan hubungan kerja generasi saja gagasannya pramono dimana saja pemutusan hubungan kerja konsultasi generasi saja diarahkan ekonomi kreatif pertanyaanku peran daerah khusus jakarta,ridwan pramono termination of employment generation only pramono's idea anywhere termination of employment generation only consultation directed at creative economy my question role of special region of jakarta,Positif
tanggapan rano strategi anggaran pendapatan belanja daerah daerah khusus jakarta mandiri ya,"rano's response to the regional budget strategy for the special region of jakarta is independent, yes",Positif
tanggapan kun rano ketepatan permintaan pelatihan koordinasi lembaga terkait dunia usaha kebutuhan suplai dua investasi,"kun rano's response to the accuracy of the request for training on coordination of institutions related to the business world, the need for supply of two investments",Netral
tanggapan siswono satu modal kewirausahaan dua gerakan anak muda tiga pelatihan magang realistis,siswono's response one entrepreneurial capital two youth movements three realistic internship training,Positif
rano karno sub tema tiga problematika generasi saja badan pusat statistik melaporkan tingkat pengangguran usia muda faktor struktural kebijakan rekrutmen rano penanganan prasarana sarana rumit jenjang pendidikan rakyat solusi kontinuitas nya,rano karno sub theme three generation problems only the central statistics agency reports the youth unemployment rate structural factors recruitment policy rano handling of infrastructure facilities complicated levels of public education solutions continuity,Negatif
tanggapan rano kun dilestarikan pola pikir dibentuk produk hasil budaya berbeda calon mantap bidangnya rano karno,"rano kun's response is preserved, the mindset is formed by the product of different cultures, a solid candidate in his field, rano karno",Netral
siti zuhro ambil bola subtema ketahanan budaya huruf sih kun wardana ketahanan budaya betawi perkampungan budaya strategi lumayan budaya betawi punah kun wardana satu meningkatkan kesadaran membangun sekolah dasar dua sarana prasarana rukun tetangga tiga penggunaan gratis fasilitas dana abadi seniman kesejahteraan seniman pekerjaannya biayanya,siti zuhro takes the ball sub-theme cultural resilience letters sih kun wardana betawi cultural resilience cultural village strategy quite betawi culture is extinct kun wardana one increasing awareness building elementary schools two infrastructure neighborhood associations three free use of facilities artist endowment fund artist welfare their work costs,Positif
tanggapan rano siswono tata kelola pemerintahan koordinasi pemerintah daerah pusat,"rano siswono's response to governance, coordination of central and regional governments",Netral
tanggapan pramono anung respon calon balai rakyat pendapatku efektif susah diukur,"pramono anung's response to the candidate for the people's hall, in my opinion, effectiveness is difficult to measure.",Negatif
tanggapan pramono anung respon calon balai rakyat pendapatku efektif susah diukur,"pramono anung's response to the candidate for the people's hall, in my opinion, effectiveness is difficult to measure.",Negatif
tiga sub tema pramono rano sumber daya manusia menempatkan kelurahan pusat mandiri berkelanjutan solusi ditawarkan job fair disetiap kecamatan kelurahan pendapatku suplai permintaan,three sub themes pramono rano human resources place sub-district center independent sustainable solutions offered job fairs in each sub-district sub-district my opinion supply demand,Negatif
pramono rano tanggapan transportasi penggunaan gratis transportasi massal kurangi macet biaya anggaran pendapatan belanja daerah,pramono rano response transportation free use of mass transportation reduce traffic jams budget costs regional income and expenditure,Positif
ridwan kamil berat lawan rano karno semoga ridwan kamil menang,"ridwan kamil is tough against rano karno, hopefully ridwan kamil will win",Positif
sepi kawan-kawan seru coblos tiga tiga nya saja namanya indonesia lo menang uang tertawa basi,"quiet friends, exciting, just vote for three of them, the name is indonesia, you win money, laugh stale",Positif
visi misi pasangan pramono abang doel,pramono abang doel's vision and mission,Netral
gue bang doel gubernur nya wakil aduh,"i'm the deputy governor, oh my",Netral
lucu saja tiga pasangan calon pasangan calon nomor dua mandiri didebat malam tiga pasangan calon pasangan calon pasangan calon nomor dua bicara penyampaian visi misi tata bahasa nya berantakan bersemangat gerakan tubuh tangan tenang agresif memerintah berasa mengajar emosional segi bahasa program-program susun rapi melebar mana-mana terkait pembicaraan pasangan calon dua realistis respon,"it's funny that three pairs of candidates, candidate pair number two, were debated at night. three pairs of candidates, candidate pair number two, talked about their vision and mission. their grammar was messy. they were enthusiastic, their body movements, their hands were calm, aggressive, commanding. they felt like they were teaching. they were emotional. in terms of language, the programs were neatly arranged and spread out everywhere. they were related to the discussion of candidate pair two, realistic, responses.",Positif
ridwan kamil membosankan sumpah seru lihat tuan pramono dharma,"ridwan kamil is boring, i swear it's exciting to see mr. pramono dharma",Negatif
satu tiga peluang korupsi sulit perubahan dua ideal sulit rakyat sadar,one three opportunities corruption difficult change two ideals difficult people aware,Negatif
nomor tiga mantap abang doel,"number three is great, brother doel",Positif
nomor tiga mantap,number three is great,Positif
nomor tiga realistis muluk muluk berhubungan kehidupan warga menengah generasi saja menganggur perhatikan penjuruan generasi saja arah kerja gairahnya kemana tunggu balai rakyat,number three realistic grandiose related to the lives of middle class citizens unemployed generation only pay attention to the direction of the generation only the direction of work where is their passion waiting for the people's hall,Positif
penyampaian nomor urut tiga templat nomor urut tiga pemilihan presiden penganggur tiga ratus puluhan ribu orang pemutusan hubungan kerja puluhan ribu orang data kalimat pengantar masyarakat menangis masyarakat relevan,delivery of serial number three serial number three template presidential election unemployed three hundred tens of thousands of people termination of employment tens of thousands of people data introductory sentence society crying society relevant,Positif
